task_id,level,correct_ep_0,correct_ep_1,correct_ep_2,correct_ep_3,correct_ep_4,correct_ep_5,correct_ep_6,correct_ep_7,correct_ep_8,correct_ep_10,correct_ep_12,correct_ep_14,correct_ep_16
19bb5feb,easy,False,True,True,True,True,True,True,True,True,True,True,True,True
33b52de3,easy,False,False,False,False,False,False,False,False,False,False,False,False,False
ba9d41b8,easy,False,False,False,False,False,False,False,False,False,False,False,False,False
b15fca0b,easy,False,False,False,False,False,False,False,False,False,False,False,False,False
45737921,easy,False,True,True,True,True,True,True,True,True,True,True,True,True
5b526a93,easy,False,False,False,False,False,False,False,False,False,False,False,False,False
ca8f78db,easy,False,False,True,True,True,True,True,True,True,True,True,True,True
0a1d4ef5,easy,False,False,True,True,False,False,False,False,False,False,False,False,False
81c0276b,easy,False,False,False,False,False,False,False,False,False,False,False,False,False
1e97544e,easy,False,True,True,True,True,True,True,True,True,True,True,True,True
5a5a2103,easy,False,False,False,False,True,False,False,False,False,False,True,False,False
5783df64,easy,False,True,True,True,True,True,True,True,True,True,True,True,True
f45f5ca7,easy,False,True,True,True,True,True,True,True,True,True,True,True,True
3979b1a8,easy,False,True,True,True,True,True,True,True,True,True,True,True,True
05a7bcf2,easy,False,False,False,False,False,False,False,False,False,False,False,False,False
692cd3b6,easy,False,False,False,False,False,False,False,False,False,False,False,False,False
8cb8642d,easy,False,False,False,False,False,False,False,False,False,False,False,False,False
aa300dc3,easy,False,False,True,False,True,True,False,False,False,True,False,True,False
d4c90558,easy,False,False,False,False,False,False,False,False,False,False,False,False,False
bf699163,easy,False,False,False,False,False,False,False,False,False,False,False,False,False
292dd178,easy,False,False,False,False,False,False,True,True,True,True,True,True,True
9110e3c5,easy,False,True,True,True,True,True,True,True,True,True,True,True,True
705a3229,easy,False,False,False,True,True,False,False,False,True,False,True,True,False
1990f7a8,easy,False,False,False,False,False,False,False,False,False,False,False,False,False
332efdb3,easy,False,True,True,True,True,True,True,True,True,True,True,True,True
4f537728,easy,False,False,True,True,True,True,True,True,True,True,True,True,True
67636eac,easy,False,False,False,False,False,False,False,False,False,False,False,False,False
00dbd492,easy,False,False,False,False,False,False,False,False,False,False,False,False,False
67c52801,easy,False,False,False,False,False,False,False,False,False,False,False,False,False
