Epoch,Non-Finetuned,Non-Finetuned Oracle,Finetuned,Finetuned Oracle
0,0.0,0.0,30.75,30.75
1,14.499999999999998,14.499999999999998,39.25,43.25
2,21.25,23.0,51.74999999999999,56.25
3,21.75,27.250000000000004,54.25,61.5
4,24.5,30.25,51.74999999999999,62.25000000000001
5,22.25,31.25,52.25,63.0
6,25.5,33.25,51.74999999999999,63.74999999999999
7,23.75,34.0,52.75,64.5
8,23.5,34.75,52.0,64.5
10,25.0,34.75,53.25,64.5
12,24.5,34.75,53.75,65.0
14,26.75,35.5,54.50000000000001,65.25
16,24.75,35.75,52.75,65.25
