task_id,level,correct
19bb5feb,easy,True
33b52de3,easy,True
ba9d41b8,easy,False
b15fca0b,easy,False
45737921,easy,True
5b526a93,easy,True
ca8f78db,easy,True
0a1d4ef5,easy,True
81c0276b,easy,False
1e97544e,easy,True
5a5a2103,easy,True
5783df64,easy,True
f45f5ca7,easy,False
3979b1a8,easy,True
05a7bcf2,easy,False
692cd3b6,easy,False
8cb8642d,easy,False
aa300dc3,easy,False
d4c90558,easy,False
bf699163,easy,True
292dd178,easy,True
9110e3c5,easy,True
705a3229,easy,True
1990f7a8,easy,True
332efdb3,easy,True
4f537728,easy,True
67636eac,easy,True
00dbd492,easy,True
67c52801,easy,False
1da012fc,easy,True
575b1a71,easy,True
66e6c45b,easy,True
fafd9572,easy,False
ea959feb,easy,False
cd3c21df,easy,True
8597cfd7,easy,True
3194b014,easy,True
2546ccf6,easy,True
45bbe264,easy,True
da2b0fe3,easy,True
e1baa8a4,easy,True
833dafe3,easy,True
4cd1b7b2,easy,True
7d1f7ee8,easy,True
af24b4cc,easy,False
963f59bc,easy,True
d37a1ef5,easy,True
358ba94e,easy,False
c3202e5a,easy,False
2753e76c,easy,False
f3cdc58f,easy,False
55059096,easy,True
845d6e51,easy,False
3b4c2228,easy,True
c7d4e6ad,easy,True
e7dd8335,easy,False
94be5b80,easy,False
bf89d739,easy,False
516b51b7,easy,False
c87289bb,easy,False
94414823,easy,True
dc2e9a9d,easy,False
e57337a4,easy,False
4aab4007,easy,True
4b6b68e5,easy,False
8a371977,easy,False
1c0d0a4b,easy,True
759f3fd3,easy,False
8dae5dfc,easy,True
a934301b,easy,False
4e469f39,easy,True
6df30ad6,easy,True
f5aa3634,easy,False
fc754716,easy,False
92e50de0,easy,True
31adaf00,easy,False
7d18a6fb,easy,False
551d5bf1,easy,True
73182012,easy,True
5ffb2104,easy,False
62ab2642,easy,False
42a15761,easy,False
68b67ca3,easy,True
903d1b4a,easy,True
642d658d,easy,True
00576224,easy,True
9b4c17c4,easy,False
21f83797,easy,True
0b17323b,easy,False
6ea4a07e,easy,True
a04b2602,easy,False
59341089,easy,True
e7a25a18,easy,False
e88171ec,easy,False
e9c9d9a1,easy,False
09c534e7,easy,False
88207623,easy,False
a406ac07,easy,False
c8b7cc0f,easy,True
ac0c5833,easy,False
d931c21c,easy,False
7c9b52a0,easy,True
95a58926,easy,True
a680ac02,easy,False
cad67732,easy,True
ef26cbf6,easy,False
f823c43c,easy,False
72a961c9,easy,True
e760a62e,easy,False
b7cb93ac,easy,False
3ee1011a,easy,True
50aad11f,easy,False
1d398264,easy,True
c64f1187,easy,False
fb791726,easy,False
8fbca751,easy,False
b7999b51,easy,False
3490cc26,easy,False
7ee1c6ea,easy,True
2b01abd0,easy,True
aa4ec2a5,easy,False
b7fb29bc,easy,False
f0df5ff0,easy,False
414297c0,easy,False
58743b76,easy,True
6f473927,easy,True
c074846d,easy,False
2072aba6,easy,True
319f2597,easy,True
84f2aca1,easy,True
cf133acc,easy,True
009d5c81,easy,False
2f0c5170,easy,False
c6e1b8da,easy,False
e4075551,easy,False
917bccba,easy,True
e66aafb8,easy,False
f83cb3f6,easy,False
0becf7df,easy,True
62b74c02,easy,True
642248e4,easy,True
477d2879,easy,False
137f0df0,easy,True
93b4f4b3,easy,False
f21745ec,easy,False
29700607,easy,True
b0f4d537,easy,False
e9ac8c9e,easy,False
1a2e2828,easy,True
52fd389e,easy,False
770cc55f,easy,True
782b5218,easy,True
712bf12e,easy,False
d304284e,easy,False
f0afb749,easy,False
3a301edc,easy,False
e681b708,easy,False
3391f8c0,easy,True
e74e1818,easy,False
070dd51e,easy,True
50a16a69,easy,True
0607ce86,easy,True
1c02dbbe,easy,True
9c1e755f,medium,False
ac3e2b04,medium,False
0bb8deee,medium,True
762cd429,medium,True
e7639916,medium,False
42918530,medium,True
ca8de6ea,medium,True
e1d2900e,medium,False
5289ad53,medium,True
8ee62060,medium,True
aee291af,medium,False
2697da3f,medium,False
351d6448,medium,False
7bb29440,medium,False
97239e3d,medium,True
bcb3040b,medium,False
f3e62deb,medium,False
54db823b,medium,False
64a7c07e,medium,False
e95e3d8e,medium,False
99306f82,medium,True
e0fb7511,medium,True
ae58858e,medium,False
992798f6,medium,True
9a4bb226,medium,True
15113be4,medium,False
93c31fbe,medium,False
9f27f097,medium,False
e9b4f6fc,medium,False
20818e16,medium,False
be03b35f,medium,True
03560426,medium,False
bbb1b8b6,medium,False
27a77e38,medium,False
9bebae7a,medium,False
281123b4,medium,True
3f23242b,medium,False
626c0bcc,medium,False
896d5239,medium,False
9ddd00f0,medium,False
e69241bd,medium,False
fd096ab6,medium,False
fe9372f3,medium,False
69889d6e,medium,True
df8cc377,medium,False
e619ca6e,medium,False
184a9768,medium,False
de493100,medium,True
0a2355a6,medium,False
15663ba9,medium,False
256b0a75,medium,False
7039b2d7,medium,False
7c8af763,medium,False
f4081712,medium,False
4e45f183,medium,False
aa18de87,medium,False
b457fec5,medium,False
b9630600,medium,False
e21a174a,medium,False
e633a9e5,medium,True
0c786b71,medium,True
0d87d2a6,medium,False
d2acf2cb,medium,True
0e671a1a,medium,True
140c817e,medium,True
baf41dbf,medium,False
2c0b0aff,medium,True
20981f0e,medium,True
12997ef3,medium,True
ed74f2f2,medium,False
1d0a4b61,medium,True
981571dc,medium,False
b1fc8b8e,medium,False
bd14c3bf,medium,False
6ad5bdfd,medium,False
17b80ad2,medium,False
12422b43,medium,True
6a11f6da,medium,True
11e1fe23,medium,False
a59b95c0,medium,False
456873bc,medium,False
15696249,medium,True
25094a63,medium,False
9c56f360,medium,False
a3f84088,medium,False
c658a4bd,medium,False
e133d23d,medium,True
ecaa0ec1,medium,False
e872b94a,medium,False
73ccf9c2,medium,False
4acc7107,medium,False
639f5a19,medium,False
1a6449f1,medium,True
16b78196,medium,False
2c737e39,medium,False
60a26a3e,medium,True
9b365c51,medium,True
ac2e8ecf,medium,False
e5790162,medium,False
9772c176,medium,False
d282b262,medium,False
d47aa2ff,medium,True
d56f2372,medium,False
2685904e,medium,False
9356391f,medium,False
d492a647,medium,False
e345f17b,medium,False
60c09cac,medium,True
695367ec,medium,True
5207a7b5,medium,False
c62e2108,medium,False
e9bb6954,medium,False
22a4bbc2,medium,True
b20f7c8b,medium,False
c97c0139,medium,False
8ba14f53,medium,False
5b6cbef5,medium,False
a096bf4d,medium,False
ff72ca3e,medium,False
9b2a60aa,medium,False
e41c6fd3,medium,False
40f6cd08,medium,False
505fff84,medium,True
96a8c0cd,medium,False
bb52a14b,medium,False
d94c3b52,medium,False
f9d67f8b,medium,False
5af49b42,medium,False
72207abc,medium,True
4c177718,medium,False
67b4a34d,medium,True
7e02026e,medium,False
48131b3c,medium,True
af22c60d,medium,False
ce8d95cc,medium,True
d017b73f,medium,False
0f63c0b9,medium,True
103eff5b,medium,False
13713586,medium,True
17cae0c1,medium,True
18419cfa,medium,False
212895b5,medium,False
32e9702f,medium,True
cb227835,medium,False
d4b1c2b1,medium,False
f8be4b64,medium,False
4852f2fa,medium,False
dd2401ed,medium,True
9caba7c3,medium,False
e5c44e8f,hard,False
604001fa,hard,False
1e81d6f9,hard,True
e78887d1,hard,False
4364c1c4,hard,True
14754a24,hard,False
c1990cce,hard,True
85fa5666,hard,False
a57f2f04,hard,False
9def23fe,hard,False
c35c1b4c,hard,False
506d28a5,hard,True
79369cc6,hard,False
c48954c1,hard,True
cfb2ce5a,hard,False
2037f2c7,hard,False
85b81ff1,hard,False
55783887,hard,False
696d4842,hard,False
da515329,hard,False
d5c634a2,hard,False
bc4146bd,hard,False
ac605cbb,hard,False
27f8ce4f,hard,False
2a5f8217,hard,False
bf32578f,hard,False
817e6c09,hard,True
ccd554ac,hard,True
fd4b2b02,hard,False
195ba7dc,hard,True
73c3b0d8,hard,False
f3b10344,hard,False
48f8583b,hard,False
c663677b,hard,True
e7b06bea,hard,False
12eac192,hard,False
423a55dc,hard,True
aab50785,hard,False
66f2d22f,hard,True
0692e18c,hard,False
c92b942c,hard,False
3ed85e70,hard,False
84db8fc4,hard,True
8b28cd80,hard,False
ce039d91,hard,False
d19f7514,hard,True
dc2aa30b,hard,False
b7f8a4d8,hard,False
ed98d772,hard,False
f5c89df1,hard,False
b0722778,hard,False
37d3e8b2,hard,False
50f325b5,hard,False
08573cc6,hard,False
310f3251,hard,True
7d419a02,hard,False
3d31c5b3,hard,True
7953d61e,hard,True
8e2edd66,hard,False
b942fd60,hard,False
929ab4e9,hard,False
94133066,hard,False
136b0064,hard,False
90347967,hard,False
5d2a5c43,hard,True
e99362f0,expert,False
1acc24af,expert,False
f9a67cb5,expert,False
ad7e01d0,expert,False
ea9794b1,expert,False
58e15b12,expert,False
891232d6,expert,False
5833af48,expert,False
4ff4c9da,expert,False
5b692c0f,expert,False
e2092e0c,expert,False
0934a4d8,expert,False
47996f11,expert,False
0c9aba6e,expert,True
34b99a2b,expert,True
1c56ad9f,expert,True
e6de6e8f,expert,False
fea12743,expert,False
31d5ba1a,expert,True
79fb03f4,expert,False
8719f442,expert,False
a8610ef7,expert,False
b4a43f3b,expert,False
